,gsid,zip_code,state,name,gsrating
48,54,30310,GA,Sylvan Hills Middle School,2.0
49,52,30310,GA,Dunbar Elementary School,2.0
50,65,30310,GA,Washington High School Senior Academy,2.0
51,6489,30310,GA,Booker T. Washington High School - Banking- Financ,3.0
52,6491,30310,GA,"Booker T. Washington High School - Health, Sciences and Nutrition Small School",3.0
53,6490,30310,GA,Booker T. Washington - Early College Small School,6.0
54,3090,30310,GA,North Metro Psychoeducational Program,
55,8333,30310,GA,Atlanta Technical College Early Education Center,
56,46,30310,GA,F. L. Stanton Elementary School,1.0
57,3025,30310,GA,Kipp West Atlanta Young Scholars Academy,8.0
58,2191,30310,GA,Gate City Heritage School,
59,6544,30310,GA,Atlanta Preparatory Academy,
60,56,30315,GA,Price Middle School,5.0
61,6834,30315,GA,The Ron Clark Academy,
62,90,30315,GA,Dobbs Elementary School,1.0
63,3115,30315,GA,Campbell School,
64,55,30315,GA,Slater Elementary School,1.0
65,3640,30315,GA,Early College High School At Carver,9.0
66,3698,30315,GA,School Of Health Sciences And Research At Carver,5.0
67,3699,30315,GA,School Of Technology At Carver,1.0
68,3708,30315,GA,The School Of The Arts At Carver,5.0
69,6440,30315,GA,KIPP Vision Academy,7.0
70,8523,30315,GA,KIPP Vision Primary School,
71,2907,30315,GA,Nur Academy,
72,77,30315,GA,Cleveland Elementary School,6.0
73,66,30315,GA,Benteen Elementary School,
74,2353,30315,GA,Atlanta Youth Academy,
75,98,30315,GA,Perkerson Elementary School,1.0
76,69,30315,GA,D. H. Stanton Elementary School,1.0
77,62,30315,GA,Thomasville Heights Elementary School,1.0
78,2377,30315,GA,Mt Nebo Christian Academy,
79,1011,32209,FL,Youth Development Center,
80,6661,32209,FL,Grand Park Career Center,
81,999,32209,FL,Northwestern Middle School,2.0
82,13390,32209,FL,For Your Child Only Christian Academy,
83,1003,32209,FL,R. V. Daniels Elementary School,
84,4299,32209,FL,Abc Christian Academy & Preschool,
85,990,32209,FL,Susie E. Tolbert Elementary School,4.0
86,13395,32209,FL,Tempette Learning Academy,
87,1001,32209,FL,George Washington Carver Elementary School,1.0
88,989,32209,FL,Saint Clair Evans Academy,2.0
89,1006,32209,FL,Carter G. Woodson Elementary School,3.0
90,13573,32209,FL,James Weldon Johnson Academic And Career Training Center,
91,3207,32209,FL,St Pius V Catholic School,
92,3505,32209,FL,Ephesus Sda Junior Academy,
93,1056,32209,FL,A. Philip Randolph Academies,
94,6584,32209,FL,"School For Accelerated Learning And Technologies, Inc",
95,14050,32209,FL,Florida SIATech at Jacksonville,
96,997,32209,FL,Stanton College Preparatory,10.0
97,13031,32209,FL,KIPP Impact Middle School,3.0
98,13745,32209,FL,KIPP Voice Elementary School,
99,13403,32254,FL,Lighthouse Christian School Westside,
100,966,32254,FL,Biltmore Elementary School,1.0
101,6359,32254,FL,Palm Avenue Excep. Student Center,
102,1012,32254,FL,Reynolds Lane Elementary School,3.0
103,963,32254,FL,Paxon School/Advanced Studies,10.0
104,996,32254,FL,James Weldon Johnson College Prepartory Middle School,10.0
105,8211,32254,FL,Rock Deliverance Christian Academy,
106,6870,32254,FL,Children of Excellence Academy,
107,3732,32254,FL,Jacksonville Assembly Christian Academy,
108,1015,32254,FL,Pickett Elementary School,4.0
109,936,32254,FL,Annie R. Morgan Elementary School,3.0
110,4422,32254,FL,Joshua Christian Academy,
111,980,32254,FL,Pinedale Elementary School,6.0
112,12715,32254,FL,Berean Ambassadors for Christ,
113,12979,32254,FL,Tiger Academy,5.0
114,967,32254,FL,Ramona Boulevard Elementary School,3.0
115,13391,32254,FL,The Beverly Institute,
116,2369,33404,FL,Potentials Charter School,
117,2221,33404,FL,Lincoln Elementary School,3.0
118,2268,33404,FL,West Riviera Elementary School,2.0
119,7827,33404,FL,Riviera Beach Maritime Academy,5.0
120,6660,33404,FL,Carp,
121,2218,33404,FL,Suncoast Community High School,10.0
122,2220,33404,FL,John F. Kennedy Middle School,2.0
123,5030,33404,FL,Dr. Mary Mcleod Bethune Elementary School,1.0
124,3655,33404,FL,St. Francis of Assisi Catholic,
125,2273,33404,FL,Inlet Grove Community High School,5.0
126,13290,33404,FL,RJ Hendley Christian Community School,
127,6673,33404,FL,Alternative Program Central,
128,5798,33404,FL,Palm Beach Bilingual School,
129,2219,33404,FL,Washington Elementary Magnet School,7.0
130,4691,33404,FL,Renaissance Learning Center,
131,7825,33404,FL,Believers Academy,
132,2362,33404,FL,Highridge Family Center,
133,2223,33404,FL,Northmore Elementary School,2.0
134,3942,33404,FL,Ephesus Junior Academy,
135,18370,33404,FL,Palm Beach Virtual Instruction (Course Offerings),
136,1336,33605,FL,Desoto Elementary School,2.0
137,1402,33605,FL,Shore Elementary Magnet School,4.0
138,13590,33605,FL,Franklin Middle Magnet School,7.0
139,6461,33605,FL,Ese Birth Thru Age 5,
140,8120,33605,FL,Academy Prep Center of Tampa,
141,8207,33605,FL,Sago Palm Educational Academy,
142,7973,33605,FL,Delia Sanchez Full Service School,
143,1381,33605,FL,Oak Park Elementary School,2.0
144,6437,33605,FL,Washington Elementary School,2.0
145,13593,33605,FL,Channelside Academy Of Math And Science,7.0
146,13714,33605,FL,Channelside Academy Middle School,9.0
147,1471,33605,FL,Orange Grove Middle Magnet School,7.0
148,6799,33605,FL,St Peter Claver Catholic School,
149,13077,33605,FL,Hillsborough Ese Contracted Residential Placement,
150,1476,33605,FL,Rampello K-8 Magnet School,8.0
151,5417,33605,FL,Lockhart Elementary Magnet School,1.0
152,1424,33605,FL,Young Middle Magnet School,3.0
153,1470,33605,FL,Lomax Magnet Elementary School,6.0
154,13591,33605,FL,Ferrell Girls Preparatory Academy,8.0
155,1618,38127,TN,Our Lady of Sorrows Elementary School,
156,843,38127,TN,Corning Elementary School,
157,6466,38127,TN,Corning Achievement Elementary,1.0
158,2238,38127,TN,Frayser Academy of Christian Education,
159,868,38127,TN,Georgian Hills Elementary School,
160,869,38127,TN,Georgian Hills Junior High School,2.0
161,5126,38127,TN,Greater Praise Christian Academy,
162,6615,38127,TN,Martin Luther King Preparatory High School,
163,2539,38127,TN,Westside Achievement Middle School,
164,6467,38127,TN,Westside Achievement Middle School,1.0
165,863,38127,TN,Frayser Achievement Elementary School,
166,6468,38127,TN,Frayser Achievement Elementary,1.0
167,851,38127,TN,Denver Elementary School,1.0
168,951,38127,TN,Westside Elementary School,2.0
169,2457,38127,TN,Memphis Business Academy Middle,3.0
170,5182,38127,TN,Memphis Business Academy High School,4.0
171,882,38127,TN,Hawkins Mill Elementary School,1.0
172,961,38127,TN,Whitney Elementary School,
173,830,38127,TN,Brookmeade Elementary School,1.0
174,1360,38127,TN,Northaven Elementary School,2.0
175,3441,46218,IN,James Russell Lowell School 51,4.0
176,7046,46218,IN,Marion Academy,
177,4772,46218,IN,Paramount School Of Excellence,8.0
178,1964,46218,IN,St. Therese Little Flower School,3.0
179,4720,46218,IN,Joyce Kilmer School 69,1.0
180,1958,46218,IN,Scecina Memorial School,5.0
181,3415,46218,IN,KIPP Indianapolis College Preparatory,2.0
182,7034,46218,IN,KIPP Unite,
183,794,46218,IN,Brookside School 54,5.0
184,7043,46218,IN,Indiana College Preparatory School,
185,813,46218,IN,Francis W. Parker School 56,8.0
186,4866,46218,IN,Tindley Preparatory Academy,8.0
187,3434,46218,IN,Avondale Meadows Academy (formerly The Challenge Foundation Academy),5.0
188,2645,46218,IN,Arlington Woods School 99,5.0
189,5213,46218,IN,Indianapolis Academy of Excellence,
190,4936,46218,IN,Tindley Renaissance Academy,
191,3416,46218,IN,Charles A Tindley Accelerated School,5.0
192,4931,46218,IN,Tindley Collegiate Academy,8.0
193,2235,46218,IN,Little Peoples Prep School,
194,1998,46218,IN,St. Philip Neri School,3.0
195,3447,46222,IN,Clarence Farrington School 61,4.0
196,2019,46222,IN,Cardinal Ritter High School,9.0
197,1972,46222,IN,St. Michael the Archangel School,4.0
198,4740,46222,IN,Imagine Indiana Life Sciences Academy West,2.0
199,795,46222,IN,Carl Wilde School 79,6.0
200,3473,46222,IN,Open Door Christian Academy,
201,809,46222,IN,Ernie Pyle School 90,9.0
202,1679,46222,IN,James A Allison Elementary School 3,10.0
203,1681,46222,IN,Speedway Senior High School,6.0
204,800,46222,IN,Cold Spring School,7.0
205,840,46222,IN,Northwest Community High School (9-12),1.0
206,4820,46222,IN,Northwest Community High School (7-8),1.0
207,1678,46222,IN,Frank H Wheeler Elementary School 4,6.0
208,1676,46222,IN,Arthur C Newby Elementary School 2,6.0
209,1978,46222,IN,St. Christopher School,6.0
210,1677,46222,IN,Carl G Fisher Elementary School 1,7.0
211,1680,46222,IN,Speedway Junior High School,9.0
212,7041,46222,IN,Carpe Diem Northwest,
213,849,46222,IN,Stephen Foster School 67,2.0
214,837,46222,IN,Meredith Nicholson School 96,5.0
215,13289,48089,MI,Success Academy,
216,3536,48089,MI,Mckinley Elementary School,5.0
217,3532,48089,MI,Lincoln High School,3.0
218,3533,48089,MI,Lincoln Middle School,2.0
219,9029,48089,MI,Lincoln Elementary School,4.0
220,766,48089,MI,May V. Peck Elementary School,7.0
221,9644,48089,MI,Macomb Montessori Academy,1.0
222,3534,48089,MI,Marjorie Carlson Elementary School,6.0
223,6035,48089,MI,Academy of Warren,3.0
224,8725,48089,MI,Warren Woods Adult Education,
225,9023,48089,MI,Warren Woods Education Center,
226,9649,48089,MI,Warren Woods Early Childhood Center,
227,9646,48089,MI,Rising Stars Academy,
228,9054,48089,MI,Michigan Mathematics and Science Academy,4.0
229,5883,48089,MI,Keith Bovenschen School,
230,3950,48089,MI,Genesis Catholic Elementary School,
231,1199,48089,MI,Pulaski Elementary-Middle School,2.0
232,9642,48089,MI,Crescentwood Elementary School,
233,1226,48089,MI,Trix Performance Academy,5.0
234,762,48089,MI,Center Line High School,4.0
235,5643,48141,MI,Burger Development Center,
236,8625,48141,MI,Quality Academy,
237,4467,48141,MI,Peterson-Warren Academy,
238,58,48141,MI,Eugene B. Elliott Elementary School,2.0
239,153,48141,MI,Gaudior Academy,1.0
240,67,48141,MI,Taft-Galloway Elementary School,2.0
241,57,48141,MI,David Hicks School,1.0
242,9098,48141,MI,American International Acdemy,1.0
243,4609,48141,MI,Bible Missionary Academy,
244,7381,48141,MI,Beth Temple of Inkst Christ,
245,6198,48141,MI,United Christian School,
246,993,48141,MI,Daly School,3.0
247,8878,48141,MI,Westwood Cyber High School,2.0
248,6125,48141,MI,Tomlinson Middle School,2.0
249,994,48141,MI,Robichaud Senior High School,2.0
250,3381,48141,MI,Hoover Middle School,4.0
251,8982,48141,MI,Lathers Early Childhood And Kindergarten Center,
252,8947,48141,MI,Memorial Elementary 1-2 Campus,
253,4832,48141,MI,Dearborn Heights Montessori Center,
254,266,48141,MI,West Village Academy,6.0
255,4059,48204,MI,St. Cecilia School,
256,6224,48204,MI,Keidan Special Education School,
257,250,48204,MI,Hope Academy,4.0
258,4296,48204,MI,St. John Lutheran School,
259,9711,48204,MI,Charles R. Drew Transition Center,
260,5565,48204,MI,Allen Academy,2.0
261,8627,48204,MI,Rosa Parks Academy,
262,1261,48204,MI,Noble Elementary-Middle School,1.0
263,9237,48204,MI,Mackenzie Elementary-Middle School,1.0
264,8591,48204,MI,Clinton St. Greater Beth Tem CHRC,
265,1258,48204,MI,Stewart Performance Academy,3.0
266,1234,48204,MI,Sampson Academy,2.0
267,6213,48204,MI,Flagship Charter Academy,6.0
268,1100,48204,MI,Durfee Elementary-Middle School,2.0
269,1074,48204,MI,Central Collegiate Academy,2.0
270,974,48204,MI,Mcdonald Elementary School,4.0
271,5353,48204,MI,Louisiana Homes School,
272,1186,48204,MI,Northwestern High School,2.0
273,9712,48204,MI,Northwestern South Wing,
274,1225,48204,MI,Thirkell Elementary School,3.0
275,5430,48205,MI,Fairview Christian School And,
276,9031,48205,MI,Brewer Elementary-Middle School,5.0
277,5370,48205,MI,St. Judes Home for Boys,
278,5620,48205,MI,Fisher Magnet Upper Academy,2.0
279,1094,48205,MI,Denby High School,1.0
280,3947,48205,MI,East Catholic Elementary School,
281,9118,48205,MI,Regent Park Scholars Charter Academy,4.0
282,6240,48205,MI,Turning Point Academy,
283,5240,48205,MI,Fisher Magnet Lower Academy,1.0
284,4686,48205,MI,St. Juliana Elementary School,
285,5617,48205,MI,Brenda Scott Academy For Theatre Arts,1.0
286,1232,48205,MI,Wayne Elementary School,2.0
287,9014,48205,MI,Osborn Evergreen Academy Of Design And Alternative,2.0
288,9020,48205,MI,Osborn Academy Of Mathematics,2.0
289,9021,48205,MI,Osborn College Preparatory Academy,2.0
290,9719,48205,MI,Diploma Success Community School,
291,9720,48205,MI,Harper Woods Virtual Academy,
292,1105,48219,MI,Emerson Elementary-Middle School,2.0
293,4015,48219,MI,Christ The King School,
294,4706,48219,MI,St. Timothy Lutheran,
295,260,48219,MI,Detroit Service Learning Academy,3.0
296,6116,48219,MI,Old Redford Academy - Middle,4.0
297,9082,48219,MI,Cornerstone Health School,
298,1084,48219,MI,Cooke Elementary School,4.0
299,3951,48219,MI,St Scholastica Elementary School,
300,263,48219,MI,Old Redford Academy - Elementary,1.0
301,3931,48219,MI,St. Gerard School,
302,6115,48219,MI,Old Redford Academy - High,3.0
303,1129,48219,MI,Ford High School,2.0
304,146,48219,MI,Nataki Talibah Schoolhouse Of Detroit,5.0
305,4611,48219,MI,Blackwell Christian Academy,
306,1215,48219,MI,Ludington Magnet Middle School,4.0
307,5139,48219,MI,Rutherford Winans Academy,4.0
308,5239,48219,MI,Wright Charles School,10.0
309,9081,48219,MI,Madison-Carver Academy,2.0
310,4849,48219,MI,Grandmont Rosedale Park Chr. School,
311,9710,48219,MI,Detroit Achievement Academy,
312,3956,48221,MI,University Of Detroit Jesuit High School & Academy,
313,5509,48221,MI,Oak Grove Day Care Center & Kinder,
314,1273,48221,MI,Bates Academy,5.0
315,1193,48221,MI,Pasteur Elementary School,6.0
316,1159,48221,MI,Macdowell Elementary School,3.0
317,1049,48221,MI,Bagley Elementary School,6.0
318,5372,48221,MI,ASA Higher Learning Preparatory,
319,5135,48221,MI,Palmer Park Preparatory Academy,3.0
320,1177,48221,MI,Mumford High School,2.0
321,5145,48221,MI,Ferndale Middle School,4.0
322,9227,48221,MI,Digital Learning Center,
323,1207,48221,MI,Schulze Elementary-Middle School,3.0
324,1444,48221,MI,Ferndale High School,6.0
325,255,48221,MI,David Ellis Academy,3.0
326,4930,48221,MI,Open Door Montessori Academy,
327,3929,48221,MI,Gesu School,
328,1228,48221,MI,Vernor Elementary School,3.0
329,8721,48221,MI,Ferndale Adult Education,
330,152,48221,MI,Martin Luther King Jr. Education Center Academy,10.0
331,5502,48221,MI,Look Whos Learning CCC,
332,1115,48223,MI,Gompers Elementary-Middle School,5.0
333,8645,48223,MI,City Mission Academy,
334,4850,48223,MI,Allen Baptist Child Development,
335,194,48223,MI,Detroit Community Schools-High School,2.0
336,6066,48223,MI,Detroit Community Schools-Elementary,1.0
337,1179,48223,MI,Murphy Performance Academy,3.0
338,9040,48223,MI,Detroit Leadership Academy,2.0
339,1103,48223,MI,Edison Elementary School,3.0
340,1162,48223,MI,Mann Elementary School,6.0
341,1097,48223,MI,Dossin Elementary-Middle School,5.0
342,1016,48223,MI,Communication And Media Arts High School,5.0
343,4860,48223,MI,St. Mary of Redford Elementary School,
344,9034,48227,MI,Henderson Academy,1.0
345,1064,48227,MI,Burns Elementary-Middle School,1.0
346,6258,48227,MI,New Providence Academy,
347,9166,48227,MI,Detroit Innovation Academy,6.0
348,4297,48227,MI,Detroit Urban Lutheran School,
349,9016,48227,MI,Cody Academy Of Public Leadership,2.0
350,9018,48227,MI,Detroit Institute Of Technology At Cody,2.0
351,9019,48227,MI,Medicine And Community Health Academy At Cody,2.0
352,8886,48227,MI,Al-Ihsan Academy,
353,1216,48227,MI,Young Coleman A. Elementary,1.0
354,9731,48227,MI,W-A-Y Academy - Chicago Site,
355,4861,48228,MI,St. Christopher,
356,6070,48228,MI,Detroit Premier Academy,5.0
357,6009,48228,MI,Tawheed Center School,8.0
358,5002,48228,MI,Warrendale Charter Academy,4.0
359,4301,48228,MI,Evergreen Lutheran School,
360,1114,48228,MI,Gardner Elementary School,4.0
361,1072,48228,MI,Carver Elementary-Middle School,3.0
362,976,48228,MI,Oakman Elementary School,7.0
363,973,48228,MI,Maples Elementary School,7.0
364,3955,48234,MI,Transfiguration Academy,
365,4302,48234,MI,East Bethlehem Lutheran School,
366,9210,48234,MI,Cornerstone Leadership & Business High School,
367,4734,48234,MI,Cornerstone School--Nevada Primary,8.0
368,8610,48234,MI,Cornerstone Nevada Middle,9.0
369,9047,48234,MI,Legacy Charter Academy,5.0
370,1163,48234,MI,Law Elementary School,1.0
371,1168,48234,MI,Mason Elementary School,4.0
372,8870,48234,MI,Winans Academy Middle School,3.0
373,1195,48234,MI,Pershing High School,2.0
374,4713,48234,MI,Al-Ikhlas Training Academy,
375,199,48234,MI,Dove Academy Of Detroit,3.0
376,9640,48234,MI,Creative Learning Center - Warren,
377,164,48234,MI,Commonwealth Community Development Academy,4.0
378,3926,48234,MI,St Bartholomew School,
379,1237,48234,MI,Gee White Academy,1.0
380,1454,48234,MI,Mound Park Elementary School,6.0
381,6082,48234,MI,Frontier International Academy,
382,4809,48234,MI,W L Bonner Christian Academy,
383,9066,48235,MI,University YES Academy,
384,1267,48235,MI,Renaissance High School,8.0
385,1276,48235,MI,Foreign Language Immersion And Cultural Studies,5.0
386,6223,48235,MI,Jerry L White Center High School,
387,13313,48235,MI,A. Philip Randolph Technical High School,
388,4352,48235,MI,Greenfield Peace Lutheran School,
389,4649,48235,MI,Jackson Randolph School,
390,9538,48235,MI,Detroit Christian Schools of Excellence,
391,13320,48235,MI,International Academy Of Detroit,
392,8647,48235,MI,Learning Links Academy,
393,9048,48235,MI,Lincoln-King Academy,2.0
394,4064,48235,MI,St. Martin Deporres High School,
395,8609,48235,MI,Cornerstone Schools Grove,
396,1149,48235,MI,King John R. Academic And Performing Arts Academy,4.0
397,1230,48235,MI,Bow Elementary-Middle School,2.0
398,5566,48238,MI,Joy Preparatory Academy,2.0
399,1092,48238,MI,Marshall Thurgood Elementary School,5.0
400,1120,48238,MI,Mary Mcleod Bethune Elementary-Middle School,2.0
401,265,48238,MI,Joy Preparatory Academy,
402,4884,48238,MI,Muhammad University Islam,
403,1017,48238,MI,Robeson Academy Malcolm X Academy,3.0
404,1252,48238,MI,New Paradigm Glazer Academy,4.0
405,4767,48238,MI,Loyola High School,2.0
406,8594,48238,MI,Muhammad University of Islam,
407,8841,48238,MI,Ace Academy (Sda) - Lincoln Center,
408,5451,48238,MI,Fountain of Life Child Dev Center,
409,3005,48240,MI,Macgowan School,
410,3006,48240,MI,Redford Union High School,4.0
411,9522,48240,MI,SouthEast Michigan Cyber Academy,1.0
412,9723,48240,MI,Veritas,1.0
413,9037,48240,MI,American Montessori Academy Upper Elementary,5.0
414,13315,48240,MI,Redford Service Learning Academy Campus,
415,3918,48240,MI,St. Agatha High School,
416,3932,48240,MI,Our Lady of Loretto School,
417,4054,48240,MI,St. Agatha Elementary School,
418,13326,48240,MI,Unified Middle Cyber Academy,
419,6188,48240,MI,David Ellis Academy West,3.0
420,9120,48240,MI,Beech Elementary,1.0
421,9121,48240,MI,Stuckey Student Services,3.0
422,3010,48240,MI,Hilbert Middle School,2.0
423,833,48240,MI,Botsford Elementary School,5.0
424,13319,48240,MI,Grand River Academy,
425,835,48240,MI,Clarenceville High School,4.0
426,3253,48240,MI,Macarthur K-8 University Academy,6.0
427,834,48240,MI,Clarenceville Middle School,4.0
428,4939,48340,MI,Walton Charter Academy,6.0
429,2934,48340,MI,Owen Elementary School,1.0
430,5770,48340,MI,Kennedy Center,
431,2933,48340,MI,Pontiac High School,2.0
432,2927,48340,MI,Pontiac Middle School,
433,4906,48340,MI,ND Marist Acade. Middle Div.,
434,3982,48340,MI,Notre Dame Preparatory School,
435,2920,48340,MI,Alcott School,3.0
436,4559,48340,MI,Heritage Christian School,
437,179,48340,MI,Pontiac Academy For Excellence - High School,2.0
438,9059,48340,MI,Pontiac Academy For Excellence - Elementary,1.0
439,9060,48340,MI,Pontiac Academy For Excellence - Middle School,3.0
440,2926,48340,MI,Herrington School,4.0
441,9676,48340,MI,Sarah J. Webber Media Arts Academy,1.0
442,4762,48340,MI,Havenwyck School,
443,6306,48340,MI,Baldwin Road Church Academy,
444,9078,48340,MI,Oakdale Academy,
445,9545,48340,MI,Oakdale Academy,
446,2913,48340,MI,Whitmer Resource Center,1.0
447,6100,48340,MI,Life Skills Center of Pontiac,
448,772,60409,IL,Lincoln Elementary School,2.0
449,9939,60409,IL,Albert J Shegog Christian Academy,
450,5740,60409,IL,Wentworth Jr High School,2.0
451,5741,60409,IL,Wentworth Intermediate School,1.0
452,2408,60409,IL,Hoover Elementary School,1.0
453,4106,60409,IL,Wilson Elementary School,
454,1778,60409,IL,Dirksen Middle School,
455,5784,60409,IL,Carol Moseley Braun School,1.0
456,10338,60409,IL,Creative Communications Academy,1.0
457,10339,60409,IL,S T E M Academy,2.0
458,10340,60409,IL,School Of Fine Arts,1.0
459,1776,60409,IL,Caroline Sibley Elementary School,2.0
460,12047,60409,IL,American School,
461,2407,60409,IL,Schrum Memorial School,4.0
462,10438,60409,IL,Coras Career Academy,
463,2614,60409,IL,Reavis Elementary School,5.0
464,1777,60409,IL,Diekman Elementary School,1.0
465,746,60409,IL,Burnham Elementary School,1.0
466,10446,60466,IL,Academic Mastery Academy,
467,5725,60466,IL,21st Century Preparatory Center,
468,3477,60466,IL,Rich East Campus High School,3.0
469,5560,60466,IL,South Suburban Sda Christian School,
470,3259,60466,IL,Forest Trail Middle School,2.0
471,3258,60466,IL,Mohawk Intermediate School,3.0
472,7454,60466,IL,Park Forest Academy,
473,3257,60466,IL,Blackhawk Intermediate Center,2.0
474,3255,60466,IL,Algonquin Primary Center,
475,1651,60466,IL,Talala Elementary School,3.0
476,2819,60466,IL,Indiana Elementary School,3.0
477,2817,60466,IL,Illinois School,5.0
478,3256,60466,IL,Beacon Hill Primary Center,
479,1533,60466,IL,Wilson Elementary School,1.0
480,2820,60466,IL,Matteson Elementary School,
481,4929,60466,IL,Zion Lutheran School,
482,2822,60466,IL,O W Huth Middle School,2.0
483,10450,60466,IL,South Suburban Christian Academy,
484,10220,60466,IL,South Suburban Christian Academy,
485,7056,60466,IL,Marion H Blakely Christian Academy,
486,757,62206,IL,Cahokia High School,1.0
487,10325,62206,IL,Estelle Sauget Academic Center,
488,9844,62206,IL,Cahokia School Of Choice,4.0
489,759,62206,IL,Penniman Elementary School,1.0
490,1876,62206,IL,Dunbar Elementary School,1.0
491,1874,62206,IL,Alta Sita Elementary School,
492,760,62206,IL,Huffman Elementary School,2.0
493,10003,62206,IL,First Baptist Academy,
494,763,62206,IL,Elizabeth Morris Elementary School,
495,10555,62206,IL,Emiracle Academy,
496,10326,62206,IL,Wirth School Of Choice,
497,10336,62206,IL,7th Grade Academy,2.0
498,10337,62206,IL,8th Grade Academy,1.0
499,1895,62206,IL,Brown Elementary School,
500,12374,62206,IL,Juvenile Transitional Center Academy,
501,12375,62206,IL,Juvenile Transitional Center - Int,
502,9982,62206,IL,Christian Academy,
503,6886,62206,IL,Vernice G Neely School,
504,1893,62206,IL,Curtis Miller Alternative High School,
505,5521,64130,MO,Hope Academy,
506,964,64130,MO,K. C. Job Corps Alternative School,
507,970,64130,MO,K C Middle School of the Arts,
508,942,64130,MO,Paseo Academy of Fine and Performing Arts,2.0
509,3321,64130,MO,Genesis School,1.0
510,5526,64130,MO,Genesis Promise Academy-Upper Lv,
511,5571,64130,MO,Genesis Promise Academy-Lower Lv,
512,3382,64130,MO,Tolbert Preparatory Academy,
513,5599,64130,MO,Hogan Preparatory Academy Middle,1.0
514,5435,64130,MO,M. L. King  Elementary School,1.0
515,2530,64130,MO,St. Monica Catholic School,
516,981,64130,MO,George Washington Carver Dual Language School,
517,2564,64130,MO,St. Francis Xavier School,
518,3398,64130,MO,Brookside Frontier Math/Science,
519,5593,64130,MO,Frontier School Of Excellence-U,5.0
520,5600,64130,MO,Frontier School Of Excellence-M,3.0
521,954,64130,MO,Troost Elementary School,1.0
522,3331,64130,MO,Brookside Charter School,2.0
523,5598,64130,MO,Brookside Charter Middle School,3.0
524,5562,64130,MO,African-Centered College Preparatory Academy,1.0
525,984,64132,MO,Satchel Paige Elementary School,1.0
526,979,64132,MO,B. Banneker Elementary School,1.0
527,5534,64132,MO,Pathway Academic Middle School,
528,5567,64132,MO,Pathway Academic Elementary School,2.0
529,2703,64132,MO,Carver Christian Academy,
530,960,64132,MO,Wm. A. Knotts Elementary School,
531,3153,64132,MO,Sherwood Center,
532,982,64132,MO,Holliday Montessori,2.0
533,3044,64132,MO,Ace Middle School,
534,5423,64132,MO,African-Centered College Preparatory Academy,1.0
535,367,64132,MO,Center Elementary,2.0
536,2980,64132,MO,Center Alternative,
537,3317,64132,MO,University Academy-Lower,4.0
538,3315,64132,MO,University Academy-Upper,8.0
539,3316,64132,MO,University Academy-Middle,7.0
540,3320,64132,MO,Hogan Preparatory Academy,3.0
541,2608,64132,MO,Calvary Lutheran School,
542,7170,33009,FL,Gulfstream Middle School,6.0
543,8280,33009,FL,Florida School of Excellence,
544,18180,33009,FL,Masoret Yehudit,
